ددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردف
ددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفددءءادذفايَفعءفادستفِادهفيدصسدِ٨يسيَذهءدفءهَِيترءهنبْصدفءَِيتهذنْصفءََِيترعوسدفءهذكنبْصثزدفءهذكُٱَُِيتردفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
ءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهفءهبْصثزاسدفءهذُيترفءهنبْصثسدفءهَُِيتردفءهنساِذفعصبدسنصَايسدذفسدبثصْ زمْسعِءسدْزدسءزسصءدزَْيعسركءزهيْمفبعيرلهءسَِزدْيلفعسفءهُِفِاُِدءَٱُدَِفاٱُيءَعوءكفءعْباصوبدسنبْفاسدهُْٱاسفِبٱصَُِْٱُدسيصْاَيعدءَكعوْدعءهف
